year,km,brand,model,engine_size,gear,owners,price
2018,85000,Toyota,Corolla,1600,Automatic,2,78000
2017,110000,Toyota,Yaris,1500,Automatic,3,52000
2019,45000,Hyundai,Ioniq,1600,Automatic,1,98000
2016,140000,Hyundai,Elantra,1600,Automatic,3,47000
2020,30000,Kia,Picanto,1200,Automatic,1,69000
2015,160000,Kia,Rio,1400,Automatic,4,39000
2018,90000,Skoda,Octavia,1400,Automatic,2,82000
2014,180000,Skoda,Rapid,1200,Automatic,4,33000
2019,60000,Mazda,3,2000,Automatic,2,105000
2013,200000,Mazda,2,1500,Automatic,5,27000
2021,25000,Volkswagen,Golf,1500,Automatic,1,135000
2016,130000,Volkswagen,Polo,1400,Automatic,3,48000
2018,95000,Nissan,Qashqai,1600,Automatic,2,92000
2017,120000,Nissan,Sentra,1800,Automatic,3,53000
2020,40000,Honda,Civic,1600,Automatic,1,128000
2015,155000,Honda,Jazz,1300,Automatic,4,42000
2019,70000,Ford,Focus,1500,Automatic,2,79000
2014,190000,Ford,Fiesta,1250,Manual,5,24000
2022,15000,BMW,320i,2000,Automatic,1,210000
2018,90000,Mercedes,C200,2000,Automatic,2,195000
2023,10000,Toyota,Corolla,1800,Automatic,1,125000
2022,25000,Toyota,Corolla,1800,Automatic,1,115000
2021,40000,Toyota,Corolla,1600,Automatic,1,98000
2020,55000,Toyota,Corolla,1600,Automatic,2,88000
2019,75000,Toyota,Corolla,1600,Automatic,2,78000
2018,95000,Toyota,Corolla,1600,Automatic,3,68000
2017,120000,Toyota,Corolla,1600,Automatic,3,58000
2023,8000,Toyota,Yaris,1500,Automatic,1,95000
2022,20000,Toyota,Yaris,1500,Automatic,1,85000
2021,35000,Toyota,Yaris,1500,Automatic,1,75000
2020,50000,Toyota,Yaris,1500,Automatic,2,65000
2019,70000,Toyota,Yaris,1500,Automatic,2,55000
2023,12000,Hyundai,i20,1200,Automatic,1,89000
2022,28000,Hyundai,i20,1200,Automatic,1,79000
2021,42000,Hyundai,i20,1200,Automatic,1,69000
2020,58000,Hyundai,i20,1200,Automatic,2,59000
2023,15000,Hyundai,Tucson,1600,Automatic,1,175000
2022,30000,Hyundai,Tucson,1600,Automatic,1,158000
2021,45000,Hyundai,Tucson,1600,Automatic,2,142000
2020,60000,Hyundai,Tucson,1600,Automatic,2,128000
2023,10000,Kia,Sportage,1600,Automatic,1,168000
2022,25000,Kia,Sportage,1600,Automatic,1,152000
2021,40000,Kia,Sportage,1600,Automatic,2,138000
2020,55000,Kia,Sportage,1600,Automatic,2,125000
2023,8000,Kia,Picanto,1200,Automatic,1,79000
2022,22000,Kia,Picanto,1200,Automatic,1,69000
2021,38000,Kia,Picanto,1200,Automatic,1,62000
2023,12000,Mazda,CX-5,2000,Automatic,1,198000
2022,28000,Mazda,CX-5,2000,Automatic,1,178000
2021,45000,Mazda,CX-5,2000,Automatic,2,162000
2023,10000,Mazda,3,2000,Automatic,1,145000
2022,25000,Mazda,3,2000,Automatic,1,132000
2021,40000,Mazda,3,2000,Automatic,2,118000
2023,15000,Skoda,Octavia,1500,Automatic,1,145000
2022,30000,Skoda,Octavia,1500,Automatic,1,132000
2021,48000,Skoda,Octavia,1400,Automatic,2,115000
2020,65000,Skoda,Octavia,1400,Automatic,2,98000
2023,10000,Volkswagen,Golf,1500,Automatic,1,165000
2022,28000,Volkswagen,Golf,1500,Automatic,1,148000
2021,45000,Volkswagen,Golf,1500,Automatic,2,135000
2023,12000,Volkswagen,Polo,1000,Automatic,1,115000
2022,25000,Volkswagen,Polo,1000,Automatic,1,102000
2021,40000,Volkswagen,Polo,1000,Automatic,2,92000
2023,8000,Nissan,Qashqai,1300,Automatic,1,155000
2022,22000,Nissan,Qashqai,1300,Automatic,1,142000
2021,38000,Nissan,Qashqai,1300,Automatic,2,128000
2020,55000,Nissan,Qashqai,1600,Automatic,2,115000
2023,15000,Honda,Civic,1500,Automatic,1,158000
2022,30000,Honda,Civic,1500,Automatic,1,142000
2021,48000,Honda,Civic,1500,Automatic,2,128000
2023,10000,Honda,HR-V,1500,Automatic,1,168000
2022,25000,Honda,HR-V,1500,Automatic,1,152000
2023,12000,Suzuki,Swift,1200,Automatic,1,82000
2022,28000,Suzuki,Swift,1200,Automatic,1,72000
2021,42000,Suzuki,Swift,1200,Automatic,1,65000
2020,58000,Suzuki,Swift,1200,Automatic,2,58000
2023,15000,Suzuki,Vitara,1400,Automatic,1,145000
2022,30000,Suzuki,Vitara,1400,Automatic,1,132000
2023,10000,Seat,Ibiza,1000,Automatic,1,105000
2022,25000,Seat,Ibiza,1000,Automatic,1,95000
2021,40000,Seat,Ibiza,1000,Automatic,2,85000
2023,12000,Seat,Leon,1500,Automatic,1,138000
2022,28000,Seat,Leon,1500,Automatic,1,125000
2023,8000,Citroen,C3,1200,Automatic,1,92000
2022,22000,Citroen,C3,1200,Automatic,1,82000
2021,38000,Citroen,C3,1200,Automatic,1,72000
2023,15000,Peugeot,208,1200,Automatic,1,98000
2022,30000,Peugeot,208,1200,Automatic,1,88000
2021,45000,Peugeot,208,1200,Automatic,2,78000
2023,12000,Peugeot,2008,1200,Automatic,1,145000
2022,28000,Peugeot,2008,1200,Automatic,1,132000
2023,10000,Renault,Clio,1000,Automatic,1,89000
2022,25000,Renault,Clio,1000,Automatic,1,79000
2021,40000,Renault,Clio,1000,Automatic,2,69000
2023,15000,Renault,Captur,1300,Automatic,1,138000
2022,30000,Renault,Captur,1300,Automatic,1,125000
2016,135000,Toyota,Corolla,1600,Automatic,3,52000
2015,150000,Toyota,Corolla,1600,Automatic,4,45000
2014,170000,Toyota,Corolla,1600,Automatic,4,38000
2016,140000,Hyundai,i20,1200,Automatic,3,42000
2015,155000,Hyundai,i20,1200,Automatic,4,35000
2017,125000,Kia,Rio,1400,Automatic,3,45000
2016,140000,Kia,Rio,1400,Automatic,4,38000
2017,130000,Mazda,3,2000,Automatic,3,85000
2016,145000,Mazda,3,2000,Automatic,4,72000
2017,120000,Volkswagen,Golf,1400,Automatic,3,78000
2016,138000,Volkswagen,Golf,1400,Automatic,4,68000
2017,115000,Honda,Civic,1500,Automatic,3,72000
2016,135000,Honda,Civic,1500,Automatic,4,62000
